Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
SQL Data Science Code Challenges,"Want to test—and develop—your SQL data-engineering skills? Do you fancy yourself pretty skilled at SQL and want to see just how sharp you are? Then check out this installment of the <i>Code Challenges</i> series, as instructor Harshit Tyagi presents a number of challenges requiring you to write SQL queries to solve problems and answer questions. The challenges start at a relatively low level of difficulty—column selection, filtering rows from data, sorting and grouping query results—and get progressively tougher, testing you on topics like handling missing and invalid data, calculating moving window average, and data transformations. The challenges are all a few minutes long, and use a single database, so you can jump around from challenge to challenge or watch the entire course. So, if you want to see if you’re equal to the tasks, try out these SQL challenges.",Course,2022-08-19 12:20 UTC,N/A,false,N/A,
ArcGIS Pro Essential Training,"ArcGIS Pro is a popular geographic information system (GIS) that combines the power of 2D and 3D mapping with cloud-based sharing and collaboration features. Version 2.4 contains visualization and editing enhancements that make it more powerful than ever. In this course, Gordon Luckett teaches you the essentials of working with ArcGIS Pro 2.4. Gordon shows you how to get started with choosing a template, creating a project, navigating in ArcGIS Pro, and setting up project and map properties. He goes over using vector data, raster data, and styling data. Then Gordon shows you how to style and label your maps. He explains how to build global and local 3D scenes, as well as extrude building heights and link 2D maps to your 3D scenes. After covering how to print map layouts, Gordon dives into creating feature classes, drawing new data, editing feature attributes, and more. He discusses how to use geospatial tools, publish to ArcGIS online, share individual files or entire projects, and more.",Course,2022-12-06 17:07 UTC,N/A,false,N/A,
Statistics Foundations 1: The Basics,"Statistics is not just the realm of data scientists. All types of jobs use statistics. Statistics are important for making decisions, new discoveries, investments, and predictions. Whether the subject is political races, sports rankings, shopping trends, or healthcare advancements, statistics is an instrument for understanding your favorite topic at a deeper level. In this course, Professor Eddie Davila offers beginner-level lessons, so you too can master the terms, formulas, and techniques needed to perform the most common types of statistics.
<br><br>
Eddie covers several examples of data and charts. He explains how to find the middle of your data set, as well as the mean and median. He introduces range, then goes into standard deviation and what to do with outliers. These techniques help you understand your data, prove theories, and save time, money, and other valuable resources—all by understanding the numbers.",Course,2023-02-20 11:42 UTC,N/A,false,N/A,
UX Foundations: Usability Testing,"Run your own basic usability testing to find out just what your users need from your website, application, or device—and learn where to focus design improvements to have the biggest impact. Instructor Chris Nodder shows how to design a study so that it answers your questions, how to recruit the right participants, and how to set up the test environment. The course also teaches you how to moderate and observe a usability test, interact with participants and ask the right kind of questions, and then analyze the results and share them with your team in a meaningful way.",Course,2022-09-06 00:38 UTC,N/A,false,N/A,
R Essential Training: Wrangling and Visualizing Data,"Trying to locate meaning and direction in big data is difficult. R can help you find your way. R is a statistical programming language to analyze and visualize the relationships between large amounts of data. This training series provides a thorough introduction to R, with detailed instruction for installing and navigating R and RStudio and hands-on examples, from exploratory graphics to neural networks. In part one, instructor Barton Poulson shows how to get R and popular R packages up and running and start importing, cleaning, and converting data for analysis. He also shows how to create visualizations such as bar charts, histograms, and scatterplots and transform categorical, qualitative, and outlier data to best meet your research questions and the requirements of your algorithms.",Course,2022-07-07 02:07 UTC,N/A,false,N/A,
Intermediate SQL: Data Reporting and Analysis,"If you’re already familiar with the fundamentals of SQL covered in our introductory course on <i>SQL: Data Reporting and Analysis</i>, you may be interested in taking your skills to the next level and learning a few more new tricks of the trade. Join data consultant Emma Saunders in this hands-on, practical follow-up, designed specifically to help you grow beyond the basics so you can start writing more complex queries to change data in the database instead of just reporting it.<br><br>Expand your SQL toolbox, including how to query data in real time for reporting, editing, inserting, and deleting. Learn new date, number, and string functions to manipulate data as you retrieve it. Along the way, test out your technical know-how with the coding challenges and quizzes at the end of each section.",Course,2023-02-18 00:56 UTC,N/A,false,N/A,
Project Management: Healthcare Projects,"<div><a href=""https://www.linkedin.com/newsletters/6823002513667706880?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Bob's LinkedIn Newsletter</a></div><br>Healthcare projects have their own unique set of needs and challenges, including privacy concerns and regulatory constraints. Learn how to effectively manage these challenges on healthcare projects large and small in this course with project management expert Bob McGannon. Bob goes over specific approaches to setting project goals, scheduling tasks, managing stakeholders, and mitigating the risks and challenges that are common to the medical field. Then he proposes some specific challenges to bring the concepts to life and offers solutions so you can compare your approach with his recommendations.",Course,2022-08-10 20:30 UTC,N/A,false,N/A,
MySQL Advanced Topics,"Get more out to the world’s most popular RDMS. Learn to take full advantage of some of the more advanced features in MySQL, including views, transactions, triggers, and stored procedures. In this course, Bill Weinman helps you take your MySQL skills to the next level. Discover how to facilitate rapid lookups with indexes, search for data in a result set provided by another select statement with subselects, and put database-intensive operations into stored functions and procedures for faster, more modular, and more efficient programming. Plus, learn how to ensure data integrity with transactions and cross-reference distributed data with foreign key constraints. These techniques allow you to create more performant and stable databases for all your development projects, from web applications to data warehouses.<br><br>

This course was created by Bill Weinman. We are pleased to host this training in our library.",Course,2022-06-27 23:23 UTC,N/A,false,N/A,
SQL Essential Training (2019),"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2023-01-26 13:42 UTC,2022-12-07 08:33 UTC,true,N/A,
Product Management First Steps,"Behind every successful technology product lies the guiding hand of the product manager. Product managers are critical leaders who coordinate all aspects of product development, from making the business case to deciding when and if a product should be retired. In this course, principal staff instructor and former Adobe Principal Product Manager Doug Winnie provides a comprehensive overview of product management and takes you through the six stages of the product life cycle (PLC): research, plan, build, release, refine, and retire. He also explains the day-to-day activities of a product manager, introduces you to the members of the product team, walks through interactive ways to help define your product, and outlines the skills a product manager needs to have to be successful. Whether you want to become a product manager or simply become a better member of a product team, this course will help you understand how a good process brings better products to life.",Course,2022-09-03 14:09 UTC,N/A,false,N/A,
JavaScript: Prototypes,"The JavaScript approach to object-oriented programming feels alien to many developers. While prototypes are core tools for intermediate and advanced programming, even experienced developers may not understand how they work. This course explains how to write more efficient JavaScript code using the prototype chain. Learn fundamental concepts underlying prototypes, such as object literals and constructors, and discover how prototypes can reduce memory usage, improve code organization, and help you cascade changes site-wide with a single update. Instructor Sasha Vodnik also explains how to use ES6 classes to build prototypes with less code and more features.",Course,2022-08-16 03:09 UTC,N/A,false,N/A,
Learning JDBC,"Whether developers want to build mobile device apps for Android or web-based or desktop-based applications with the core Java SDK from Oracle, they must contend with the fact that many dynamic applications need to integrate data from a relational database. In this course, Frank Moley helps you get up to speed with the Java Database Connectivity (JDBC) API, showing how to use it to read and manage data from relational databases such as Postgres, Oracle Database, MySQL, and SQL Server in applications programmed with Java. Frank begins by going over key JDBC terminology, the basics of configuring a PostgreSQL database, and how to create the course project. He then provides detailed instructions on how to select and update data, work with transactions, handle exceptions, and more.",Course,2022-09-08 14:17 UTC,N/A,false,N/A,
Introduction to Scala,"Scala has become an increasingly popular programming language ever since it was publicly released in 2004. Designed in part to improve on some of the weaknesses of Java, Scala requires less code and supports both object-oriented programming and functional programming. And while Scala and Java are interoperable, you don’t need any knowledge of Java to run Scala. This course with Amina Adewusi is aimed at programming beginners who have only basic programming experience. Amina provides a broad and friendly introduction to some of Scala’s features that will set a foundation for more advanced lessons. She details everything you need to write Scala code and run it locally; examines values and types, functions, and control flows; looks at domain modeling; and explores Scala’s collection types. If you’re just starting on your programming journey, join Amina to see if Scala is right for you.",Course,2022-07-02 05:28 UTC,N/A,false,N/A,
Tableau and R for Analytics Projects,"On its own, Tableau is a powerful tool that helps professionals analyze, display, and generally make sense of the data at their fingertips. With the addition of R—a free, open-source language for data science—you can glean even more insights from your data. In this course, learn how to combine the analytical strengths of R with the visualization power of Tableau to analyze and present data more effectively. Instructor Curt Frye demonstrates how to install R and RServe; create a connection between Tableau and R; perform several types of analyses in R, from linear regression to cluster identification; and incorporate those analyses into Tableau visualizations.",Course,2021-02-22 06:03 UTC,N/A,false,N/A,
Certified Analytics Professional (CAP) Cert Prep: Domains 1–4,"In the information age, companies need skilled professionals who can glean useful intelligence from troves of data. These data science roles can be challenging, rewarding, and lucrative. If you're interested in pursuing a career in this growing field, then the Certified Analytics Professional (CAP) certification may be right for you. In this course, Jungwoo Ryoo provides an expedited overview of each of the first four domains in the CAP exam, helping you get up to speed with some of the core data science concepts covered on the test. After going over the history of CAP and related certifications, he dives into domains 1–4: Business Problem Framing, Analytics Problem Framing, Data, and Methodology.",Course,2022-06-07 18:50 UTC,N/A,false,N/A,
SQL for Data Analysis,"If you’re looking to get Structured Query Language into your application development, but your story is more prequel than SQL, you need to build a solid foundational knowledge of SQL analysis. In this course, instructor Nikiya Simpson starts with a quick review of SQL basics, then focuses on fundamental SQL queries used in beginning data analysis. Nikiya explains the importance of asking the right questions of your data, as well as how those questions translate into SQL. She also shows how these concepts can be used to derive quick insights from your data to help drive effective decision-making. Nikiya finishes the course by demonstrating how to incorporate queries into tools like Microsoft Power BI to help bring you data to life.",Course,2022-08-07 22:08 UTC,N/A,false,N/A,
Python: Working with Predictive Analytics,"Data can tell many stories: where it came from <i>and</i> where it’s going. Predictive analytics gives programmers a tool to tell stories about the future: to extract usable information and make accurate predictions. These predictions, in turn, allow business to make more informed, impactful decisions. Join Isil Berkun, data scientist, to explore predictive analytics with Python. Discover how to prepare data—fill in missing values, perform feature scaling, and more—and use prebuilt Python libraries to make and evaluate prediction models. She describes what models to use when, and explains the concepts in such a way that you can immediately apply them to your own work. By the end of the course, you’ll be able to leverage Python libraries like pandas and NumPy and choose the right prediction models for your projects.",Course,2021-07-11 14:54 UTC,N/A,false,N/A,
Using Python with Excel,"Python is the world's fastest growing programming language. It's a powerful tool that is helping to streamline development <i>and</i> data science. In this course from Madecraft, you can learn how to combine the power of the Python language with the data analysis and reporting tools in Microsoft Excel. Discover how to leverage the pandas and openpyxl libraries to inspect, filter, clean, and convert data and how to build solid reports that help businesses take action. Discover how to work with large amounts of data that would be unmanageable in Excel alone. By the end of this course, viewers will learn how this combination of tools can lead businesses to better insights than ever before.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2021-03-29 04:49 UTC,N/A,false,N/A,
Requirements Elicitation and Analysis,"To define great requirements, it's not enough to simply ask customers and stakeholders what they want. By leveraging requirements elicitation and analysis techniques, business analysts can come up with more innovative solutions. In this course, explore these techniques, and learn why they're important, and how to blend them together and tailor them to your project. Angela Wick provides an overview of the process, and discusses how elicitation and analysis work together. She also covers different ways of gathering requirements—such as brainstorming, observation, and workshops—before moving on to analysis techniques such as context diagrams, user stories, and decision tables. At the conclusion of the course, she explains how to select the right approach for a particular product or project type.",Course,2022-09-02 06:28 UTC,N/A,false,N/A,
Excel: Avoiding Common Mistakes (Microsoft 365),"If you work in Excel, you know that even a small error can have big consequences, throwing off important calculations or transmitting incorrect information to your team. In this concise course, Excel expert Dennis Taylor provides quick and easy tips to help you avoid common mistakes. Dennis begins with the basics—how to display data so that errors can be easily spotted, enter data correctly the first time, and apply shortcuts for frequent entries. Dennis provides easy ways to protect worksheets and validate your data—techniques that are particularly helpful when multiple team members are contributing to the same spreadsheet. He also shows how to correctly use row and column references and avoid mistakes in formulas.",Course,2021-03-04 21:49 UTC,N/A,false,N/A,
Python for Data Science Essential Training Part 1,"<i>Python for Data Science Essential Training</i> is one of the most popular data science courses at LinkedIn Learning. It has now been updated and expanded to two parts—for even more hands-on experience with Python. In this course, instructor Lillian Pierson takes you step by step through a practical data science project: a web scraper that downloads and analyzes data from the web. Along the way, she introduces techniques to clean, reformat, transform, and describe raw data; generate visualizations; remove outliers; perform simple data analysis; and generate interactive graphs using the Plotly library. You should walk away from this training with basic coding experience that you can take to your organization and quickly apply to your own custom data science projects.",Course,2022-10-14 20:58 UTC,N/A,false,N/A,
Data Analytics: Dashboards vs. Data Stories,"In the world of data analytics, you're consistently presented with the same decision when it comes to how you'll communicate your data and insights. For each project, you need to decide whether to use a dashboard or tell a data story. In this course, business intelligence architect Sara Anstey provides you with the necessary information you need to make this decision with confidence. First, Sara covers the fundamentals of making decisions with data and shares how the role of a data analyst makes this possible for organizations. She then dives into the topics of data science dashboards and data storytelling, highlighting the pros and cons of each and providing the details you need to determine which approach is right for you. Sara closes by recapping key concepts, leaving you prepared to pick between each of these options with ease and intentionality.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""20%"" width=""20%"">",Course,2022-09-29 13:01 UTC,N/A,false,N/A,
Marketing Analytics: Presenting Digital Marketing Data,"Possessing an expertise in any area of knowledge is, of course, a great thing to have. However, expertise in a vacuum doesn’t do much good. A thoroughly researched, meticulously prepared presentation is just a waste of hard work if you can’t communicate your points with your clients or audience. Especially in a field like data analysis, it is vital not just to present the numbers, but to communicate what those numbers mean and what they mean going forward. In this course, Samantha Barnes shows you how to create informative and persuasive data presentations. She covers key points of presentations, starting with the importance of considering your audience before anything else, crafting a narrative with your data, best practices for data visualizations, and a number of unique data presentation tools. After this course, you will have important tools that you can utilize throughout your career.",Course,2021-05-12 05:41 UTC,N/A,false,N/A,
Data Visualization for Data Analysis and Analytics,"<div><a href=""https://www.linkedin.com/newsletters/6599926882873991168?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Bill's LinkedIn Newsletter</a></div><br>As a data analyst, you probably already know how to build visualizations and use tools like Excel and Tableau. This course challenges you to go beyond the data, beyond the software, and start thinking more clearly and strategically about the foundations of great communication design. Bill Shander, founder of Beehive Media, focuses on the key challenges that analysts face trying to communicate complex information, and how visual communication can help. He breaks down ten key components of great data visualizations—built in any program—and shows innovative ways of rethinking the slides, charts, diagrams, and dashboards you work with every day.",Course,2022-10-26 12:35 UTC,N/A,false,N/A,
Python vs. R for Data Science,"Python and R are common programming languages used when working with data. Each language is powerful in its own way; however, it's important that you select the language that will best help you achieve your end result. In this course, data scientist and coding instructor Lavanya Vijayan helps you make this choice, sharing important considerations for using each language in various circumstances. Lavanya starts by going over the background of both languages, as well as the strengths and disadvantages of each in different scenarios. She then walks through the process of working on a data science project and how you'd handle the data at various stages using Python and R. Lavanya then covers how to analyze data using both languages. She rounds out the course by discussing the use cases that play to each language's strengths. By the end of this training, you’ll have the essential information you need to determine whether Python or R is right for you.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""20%"" width=""20%"">",Course,2022-10-04 17:50 UTC,N/A,false,N/A,
Nano Tips for Using Excel with Miss Excel (2021),"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>Here, join Miss Excel (aka Kat Norton)—a Microsoft MVP with 750,000+ followers on TikTok—as she shares tips and answers to common questions about Microsoft Excel, all set to a beat. Topics include fixing data in Excel (PivotTable), the filter function in Excel (VLOOKUP), VBA basics in Excel, and more. Each high-energy video offers up quick fixes for things you need to know right now about Excel and also prepares you for more in-depth learning.",Course,2022-09-26 04:55 UTC,N/A,false,N/A,
Microsoft Project for the Web: Reporting with Power BI,"Create clearer, more visually compelling project reports using Power BI, the data visualization tool included with Office. In this course, John Riopel, PMP, gives project management professionals a crash course in Power BI, explaining how it can be used to create more robust project reports. John starts with the basics, explaining the main components of Power BI and showing you how to work with tables, filter the right data using slicers, and format a basic report. Next, John covers more intermediate features of Power BI, such as using samples and content packs, working with measures, and using conditional formatting. Finally, John explains how to work with advanced features, like creating and fine-tuning dashboards in Power BI, merging datasets, and adding custom visuals to your report.",Course,2023-03-23 11:43 UTC,N/A,false,N/A,
Excel: Managing and Analyzing Data,"Ready to start working with spreadsheets like a pro? Join Excel MVP Oz du Soleil as he shares how to clean, organize, and analyze large amounts of data with ease using commands, features, and functions within Microsoft Excel. Instead of focusing on pure analysis (forecasting, running regressions, etc.), Oz covers how to use built-in Excel tools to prepare your data for analysis and extract the information that supports your mission.<br><br>Oz dedicates the first portion of the course to an often-overlooked part of data analysis: checking data quality. He then steps through how to prepare your data for analysis by setting it up into sortable, filterable columns and rows. Next, Oz shares how to work with multiple data sets at once; sort and filter data; and use functions to isolate and analyze data. Plus, learn how to work with the newest features in Excel, including Power Query and dynamic arrays, which make it so much easier to get what you need from your data without clumsy, complicated, and delicate formulas. With these techniques, you'll be prepared to quickly and effectively extract important information from even your largest spreadsheets.",Course,2022-12-30 17:06 UTC,N/A,false,N/A,
Azure Database Administrator Associate (DP-300) Cert Prep: 2 Azure Data Optimization and Automation,"Passing the Microsoft DP-300 certification exam allows job seekers to demonstrate proficiency with next-gen, cloud-based database technologies, and in this <i>Administering Relational Databases on Microsoft Azure (DP-300) Cert Prep</i> series of courses, Adam Wilbert takes you through the key aspects of the exam that you need to know. This second course in the series covers the Azure database platform, including SQL Server virtual machines, hosted Azure SQL Databases, and other open-source databases that are available on the service. This course focuses on monitoring and automating Azure and SQL Server resources. Even if you don’t plan on taking the exam, studying these aspects is still a great way to gain the knowledge and proficiency needed to modernize your organization's database resources.",Course,2022-07-19 00:52 UTC,N/A,false,N/A,
Leadership Mindsets,"<div><a href=""https://www.linkedin.com/newsletters/6858113094200131584?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Sesil's LinkedIn Newsletter</a></div><br>Mindset has a huge performance impact—but leaders rarely stop to see how they can intentionally change their mindsets to get better results. Discover the transformative power your mindset can have on your leadership style and find out how you can identify, grow, and put new mindsets into work. Together with Stanford University, organizational psychologist Sesil Pir has studied how frames of reference impact relationships and outcomes and how successful leaders adapt their thought patterns to improve employee engagement, drive meaning across the organization, and promote life-long learning. This short course can help you leverage new findings to transform your own mindset and experience—and inspire new mindsets in others while driving innovation and sustainable business development results.",Course,2020-12-10 17:45 UTC,N/A,false,N/A,
Data Engineering with AWS Part 1,"Businesses need data experts—now more than ever before. As data-driven decision-making has risen to boardroom prominence, the role of the data expert has become essential to understanding and scaling a business. In this course—the first in a two-part series—instructor Dipali Kulshrestha shows you how to get started on your professional journey and grow your career as a data engineer with AWS.<br><br>Get an introduction to the field of data engineering and why it’s so important in today’s business world. Explore a variety of data types, data lakes, data sources, and how to use built-in AWS components such as DynamoDB, Kinesis, and S3 to store and manage your streams. Find out how to leverage the full power of an end-to-end data engineering pipeline, from selecting and configuring ingestion patterns, to storing data for analytic processing with S3. Test your new skills along the way in the hands-on data challenges at the end of each section.",Course,2023-01-14 00:48 UTC,N/A,false,N/A,
HR Guidelines Everyone Should Know (2020),"If your company is like most, your HR guidelines are outdated or on their way to being obsolete. Every HR professional must stay on top of the latest guidance to create a loyal and high-performing workforce. In this course, HR expert Amber Vanderburg shares powerful techniques to build, value, develop, and retain an incredible team. Listeners can learn what recruiting methods to use, how to interview candidates, and how to manage salary negotiations. Additionally, Amber explains how to create an amazing compensation package, cultivate cultures of continuous improvement, and provide powerful feedback. Finally, learn how to maintain healthy employee relations and manage tough conversations.<br><br>

<br><br>This audio-only course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2020-11-06 03:06 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2023-01-30 21:58 UTC,N/A,false,N/A,
Cert Prep: LEED Green Associate,"Are you passionate—and  knowledgeable—about the latest green building principles and practices? If so, earning the LEED Green Associate credential can help you advance your career by demonstrating your expertise in sustainable design, construction, and building operations. In this course, instructor Fulya Kocak Gin gives you an overview of what to expect on the LEED Green Associate exam and provides background on the key topics and concepts you need to know. Fulya covers alternative transportation options, sustainable site strategies, ways to reduce energy and water use, renewable energy solutions, enhanced indoor air strategies, and much more. Plus, she includes a practice exam so you can solidify your understanding of the concepts covered in this course.",Course,2023-02-20 05:30 UTC,N/A,false,N/A,
Developing Your Professional Image in a New Job,"<div><a href=""https://www.linkedin.com/newsletters/6661628561960558592?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Gemma's LinkedIn Newsletter</a></div><br>For new graduates transitioning from school to the world of work, creating a professional image isn't always intuitive. In this course, executive coach and organizational psychologist Gemma Leigh Roberts provides tips and guidance that can help you successfully navigate the start of your professional career. Gemma highlights the main differences between campus life and being part of the workforce, and explains how to develop the right mindset for dealing with workplace challenges and getting ahead in your career. Plus, she shares tips for acclimating to a new workplace, and discusses how to create a career strategy that sets you up for success, focusing on your vision, mission, goals, and targets.",Course,2021-05-11 12:40 UTC,N/A,false,N/A,
